ANSI,Period,Start Year,End Year,Intercept (b0),Slope (b1),Data Points
73,1997-2001,1997,2001,-21164080.6594,134217728.0,33
73,2002-2006,2002,2006,,,32
73,2007-2011,2007,2011,,,32
73,2012-2016,2012,2016,,,32
73,2017-2021,2017,2021,,,33
73,2022-2026,2022,2026,,,33
75,1997-2001,1997,2001,,,33
75,2002-2006,2002,2006,16382610.2297,16777216.0,31
75,2007-2011,2007,2011,51824387.0968,-0.0,31
75,2012-2016,2012,2016,153040056.7123,1073741824.0,31
75,2017-2021,2017,2021,36207522.9832,-25165824.0,31
75,2022-2026,2022,2026,,,31
77,1997-2001,1997,2001,,,33
77,2002-2006,2002,2006,,,32
77,2007-2011,2007,2011,51859472.6194,-67108864.0,31
77,2012-2016,2012,2016,150547878.7879,-0.0,33
77,2017-2021,2017,2021,,,32
77,2022-2026,2022,2026,10951400.5333,134217728.0,33
79,1997-2001,1997,2001,24812409.3462,33554432.0,29
79,2002-2006,2002,2006,,,30
79,2007-2011,2007,2011,50270966.6667,-0.0,30
79,2012-2016,2012,2016,149045250.2606,-134217728.0,31
79,2017-2021,2017,2021,-22936724.0465,-100663296.0,31
79,2022-2026,2022,2026,,,32
81,1997-2001,1997,2001,27740912.1961,-67108864.0,31
81,2002-2006,2002,2006,12679920.32,-67108864.0,30
81,2007-2011,2007,2011,31720566.56,-44739242.6667,30
81,2012-2016,2012,2016,31546552.1218,-53687091.2,31
81,2017-2021,2017,2021,23934724.5178,-44739242.6667,31
81,2022-2026,2022,2026,165837249.6533,-67108864.0,30
83,1997-2001,1997,2001,33053308.5419,33554432.0,31
83,2002-2006,2002,2006,9468677.5329,33554432.0,31
83,2007-2011,2007,2011,77159838.7097,-0.0,31
83,2012-2016,2012,2016,,,31
83,2017-2021,2017,2021,96251792.1342,-16777216.0,31
83,2022-2026,2022,2026,-26677623.7006,134217728.0,31
85,1997-2001,1997,2001,22112065.4637,13421772.8,31
85,2002-2006,2002,2006,24481052.8723,33554432.0,31
85,2007-2011,2007,2011,43287064.5161,0.0,31
85,2012-2016,2012,2016,30270547.0835,-38347922.2857,31
85,2017-2021,2017,2021,42703165.2095,-22369621.3333,31
85,2022-2026,2022,2026,,,32
87,1997-2001,1997,2001,11950431.7333,44739242.6667,30
87,2002-2006,2002,2006,13042098.4465,-178956970.6667,31
87,2007-2011,2007,2011,31502937.0667,-16777216.0,30
87,2012-2016,2012,2016,,,32
87,2017-2021,2017,2021,,,32
87,2022-2026,2022,2026,50684241.7789,22369621.3333,31
89,1997-2001,1997,2001,-3852226.8077,50331648.0,31
89,2002-2006,2002,2006,23316800.0,0.0,30
89,2007-2011,2007,2011,26546989.6276,-16777216.0,29
89,2012-2016,2012,2016,,,30
89,2017-2021,2017,2021,,,31
89,2022-2026,2022,2026,33623864.0619,33554432.0,31
91,1997-2001,1997,2001,,,31
91,2002-2006,2002,2006,23195862.069,0.0,29
91,2007-2011,2007,2011,28972253.0097,-16777216.0,29
91,2012-2016,2012,2016,9424163.1048,-89478485.3333,28
91,2017-2021,2017,2021,53449931.0345,-0.0,29
91,2022-2026,2022,2026,64887421.1386,26843545.6,31
93,1997-2001,1997,2001,295627.0234,67108864.0,29
93,2002-2006,2002,2006,-7626408.5333,33554432.0,30
93,2007-2011,2007,2011,13955677.8667,-67108864.0,30
93,2012-2016,2012,2016,,,30
93,2017-2021,2017,2021,62162366.6667,-0.0,30
93,2022-2026,2022,2026,39006486.08,33554432.0,30
95,1997-2001,1997,2001,,,30
95,2002-2006,2002,2006,14954704.7724,25165824.0,29
95,2007-2011,2007,2011,,,29
95,2012-2016,2012,2016,,,28
95,2017-2021,2017,2021,61442250.0,-0.0,28
95,2022-2026,2022,2026,,,25
97,1997-2001,1997,2001,,,30
97,2002-2006,2002,2006,24849737.0372,-33554432.0,29
97,2007-2011,2007,2011,17606944.7724,-33554432.0,29
97,2012-2016,2012,2016,21303114.4823,-40265318.4,28
97,2017-2021,2017,2021,48246499.8933,-178956970.6667,30
97,2022-2026,2022,2026,64349077.6276,33554432.0,29
99,1997-2001,1997,2001,,,30
99,2002-2006,2002,2006,,,30
99,2007-2011,2007,2011,64182016.9048,-67108864.0,29
99,2012-2016,2012,2016,5670032.5333,-134217728.0,30
99,2017-2021,2017,2021,97096887.6267,-178956970.6667,30
99,2022-2026,2022,2026,94198726.72,134217728.0,30
101,1997-2001,1997,2001,10502685.172,38347922.2857,29
101,2002-2006,2002,2006,,,30
101,2007-2011,2007,2011,29955370.4166,-33554432.0,29
101,2012-2016,2012,2016,,,30
101,2017-2021,2017,2021,41919146.3834,-33554432.0,29
101,2022-2026,2022,2026,35420234.1628,67108864.0,29
103,1997-2001,1997,2001,16864409.3462,33554432.0,29
103,2002-2006,2002,2006,-7684399.04,33554432.0,30
103,2007-2011,2007,2011,,,30
103,2012-2016,2012,2016,1466922.4,134217728.0,30
103,2017-2021,2017,2021,54865689.6552,0.0,29
103,2022-2026,2022,2026,84670275.8621,-0.0,29
105,1997-2001,1997,2001,7649701.8171,134217728.0,28
105,2002-2006,2002,2006,-4890768.0571,67108864.0,28
105,2007-2011,2007,2011,25209857.1543,-33554432.0,28
105,2012-2016,2012,2016,68830034.4828,0.0,29
105,2017-2021,2017,2021,61450259.2593,-0.0,27
105,2022-2026,2022,2026,31319398.3264,89478485.3333,29
107,1997-2001,1997,2001,50361641.4124,134217728.0,29
107,2002-2006,2002,2006,43694528.2317,44739242.6667,29
107,2007-2011,2007,2011,-13268630.6759,-268435456.0,29
107,2012-2016,2012,2016,134717034.4828,0.0,29
107,2017-2021,2017,2021,14382665.909,-134217728.0,29
107,2022-2026,2022,2026,151475389.0207,33554432.0,29
109,1997-2001,1997,2001,1095395.1669,268435456.0,29
109,2002-2006,2002,2006,-2760649.0483,-268435456.0,29
109,2007-2011,2007,2011,25430526.7134,-13421772.8,29
109,2012-2016,2012,2016,63406068.9655,0.0,29
109,2017-2021,2017,2021,19796727.2975,-44739242.6667,29
109,2022-2026,2022,2026,83141464.2857,0.0,28
111,1997-2001,1997,2001,131995805.7363,-1073741824.0,27
111,2002-2006,2002,2006,29977036.16,536870912.0,27
111,2007-2011,2007,2011,68224092.7644,-44739242.6667,27
111,2012-2016,2012,2016,72786887.5733,-53687091.2,27
111,2017-2021,2017,2021,117933000.0,0.0,27
111,2022-2026,2022,2026,,,27
113,1997-2001,1997,2001,38400846.1538,-0.0,26
113,2002-2006,2002,2006,23698717.6492,-16777216.0,26
113,2007-2011,2007,2011,,,25
113,2012-2016,2012,2016,,,25
113,2017-2021,2017,2021,,,25
113,2022-2026,2022,2026,,,26
115,1997-2001,1997,2001,10583561.363,44739242.6667,27
115,2002-2006,2002,2006,10329982.5067,16777216.0,27
115,2007-2011,2007,2011,73033490.5846,67108864.0,26
115,2012-2016,2012,2016,54782925.9259,0.0,27
115,2017-2021,2017,2021,,,26
115,2022-2026,2022,2026,32387182.3631,33554432.0,26
117,1997-2001,1997,2001,,,26
117,2002-2006,2002,2006,16010990.8923,8388608.0,26
117,2007-2011,2007,2011,38559961.5385,-0.0,26
117,2012-2016,2012,2016,58163720.0,-0.0,25
117,2017-2021,2017,2021,30229486.24,-16777216.0,26
117,2022-2026,2022,2026,34512706.56,33554432.0,26
119,1997-2001,1997,2001,,,26
119,2002-2006,2002,2006,10489839.6554,16777216.0,26
119,2007-2011,2007,2011,14549471.9304,-33554432.0,23
119,2012-2016,2012,2016,45745323.9652,-89478485.3333,23
119,2017-2021,2017,2021,55130583.3333,-0.0,24
119,2022-2026,2022,2026,,,24
121,1997-2001,1997,2001,,,25
121,2002-2006,2002,2006,,,25
121,2007-2011,2007,2011,,,26
121,2012-2016,2012,2016,22944909.3169,-33554432.0,26
121,2017-2021,2017,2021,,,26
121,2022-2026,2022,2026,,,26
123,1997-2001,1997,2001,-10627003.84,-536870912.0,25
123,2002-2006,2002,2006,,,25
123,2007-2011,2007,2011,11899037.1478,-33554432.0,23
123,2012-2016,2012,2016,,,25
123,2017-2021,2017,2021,34425411.84,-16777216.0,25
123,2022-2026,2022,2026,,,24
125,1997-2001,1997,2001,,,25
125,2002-2006,2002,2006,,,25
125,2007-2011,2007,2011,,,23
125,2012-2016,2012,2016,,,25
125,2017-2021,2017,2021,47052600.0,-0.0,25
125,2022-2026,2022,2026,,,25
127,1997-2001,1997,2001,28962291.6667,0.0,24
127,2002-2006,2002,2006,25358458.3333,-0.0,24
127,2007-2011,2007,2011,20234989.9437,-40265318.4,23
127,2012-2016,2012,2016,-44574617.1826,-268435456.0,23
127,2017-2021,2017,2021,,,24
127,2022-2026,2022,2026,,,24
129,1997-2001,1997,2001,25543150.0,-0.0,20
129,2002-2006,2002,2006,10887023.5276,67108864.0,21
129,2007-2011,2007,2011,366079.3455,-67108864.0,22
129,2012-2016,2012,2016,3102347.7029,-100663296.0,21
129,2017-2021,2017,2021,34251966.4457,-67108864.0,21
129,2022-2026,2022,2026,20281172.3782,67108864.0,22
131,1997-2001,1997,2001,,,22
131,2002-2006,2002,2006,21634545.4545,0.0,22
131,2007-2011,2007,2011,4304824.8,-67108864.0,20
131,2012-2016,2012,2016,-8293539.8737,-67108864.0,19
131,2017-2021,2017,2021,53833409.0909,-0.0,22
131,2022-2026,2022,2026,39873910.6735,80530636.8,22
133,1997-2001,1997,2001,19282423.9848,44739242.6667,21
133,2002-2006,2002,2006,14427390.1714,8388608.0,21
133,2007-2011,2007,2011,18374823.5886,-67108864.0,21
133,2012-2016,2012,2016,45342475.6752,89478485.3333,22
133,2017-2021,2017,2021,30776066.0571,-16777216.0,21
133,2022-2026,2022,2026,,,22
135,1997-2001,1997,2001,-6536004.72,536870912.0,20
135,2002-2006,2002,2006,21688200.0,0.0,20
135,2007-2011,2007,2011,-16201941.2,134217728.0,20
135,2012-2016,2012,2016,-96762637.2,134217728.0,20
135,2017-2021,2017,2021,-7057309.44,536870912.0,20
135,2022-2026,2022,2026,34826327.04,134217728.0,20
137,1997-2001,1997,2001,14609181.76,134217728.0,20
137,2002-2006,2002,2006,19236123.84,-16777216.0,20
137,2007-2011,2007,2011,20385406.72,33554432.0,20
137,2012-2016,2012,2016,-45904149.1537,134217728.0,19
137,2017-2021,2017,2021,37567472.64,-107374182.4,20
137,2022-2026,2022,2026,27725720.16,201326592.0,20
139,1997-2001,1997,2001,13635430.8211,33554432.0,19
139,2002-2006,2002,2006,10383059.6379,16777216.0,19
139,2007-2011,2007,2011,29905154.2793,-44739242.6667,19
139,2012-2016,2012,2016,,,19
139,2017-2021,2017,2021,68053789.4737,-0.0,19
139,2022-2026,2022,2026,-9712129.7684,2147483648.0,19
141,1997-2001,1997,2001,10993110.8884,134217728.0,19
141,2002-2006,2002,2006,28105421.0526,-0.0,19
141,2007-2011,2007,2011,-4604249.0947,268435456.0,19
141,2012-2016,2012,2016,55291791.2017,26843545.6,19
141,2017-2021,2017,2021,,,19
141,2022-2026,2022,2026,10557390.9221,4294967296.0,19
143,1997-2001,1997,2001,8786598.5956,67108864.0,18
143,2002-2006,2002,2006,,,18
143,2007-2011,2007,2011,,,17
143,2012-2016,2012,2016,77779588.2353,-0.0,17
143,2017-2021,2017,2021,,,17
143,2022-2026,2022,2026,93089333.3333,0.0,15
145,1997-2001,1997,2001,11801438.8089,134217728.0,18
145,2002-2006,2002,2006,23775500.0,-0.0,18
145,2007-2011,2007,2011,-20932123.04,-134217728.0,18
145,2012-2016,2012,2016,,,18
145,2017-2021,2017,2021,55912666.6667,-0.0,18
145,2022-2026,2022,2026,,,16
147,1997-2001,1997,2001,25145720.1244,-1431655765.3333,18
147,2002-2006,2002,2006,,,17
147,2007-2011,2007,2011,35935696.6044,-67108864.0,18
147,2012-2016,2012,2016,,,17
147,2017-2021,2017,2021,79271058.8235,0.0,17
147,2022-2026,2022,2026,,,17
149,1997-2001,1997,2001,17699918.6311,11184810.6667,18
149,2002-2006,2002,2006,,,18
149,2007-2011,2007,2011,13976511.2,67108864.0,18
149,2012-2016,2012,2016,14748255.2356,134217728.0,18
149,2017-2021,2017,2021,62434222.2222,-0.0,18
149,2022-2026,2022,2026,37662144.1244,-134217728.0,18
151,1997-2001,1997,2001,17762008.96,-89478485.3333,15
151,2002-2006,2002,2006,,,16
151,2007-2011,2007,2011,,,16
151,2012-2016,2012,2016,,,16
151,2017-2021,2017,2021,-41599761.1733,-67108864.0,15
151,2022-2026,2022,2026,,,15
153,1997-2001,1997,2001,,,17
153,2002-2006,2002,2006,,,16
153,2007-2011,2007,2011,15415981.0133,-8388608.0,15
153,2012-2016,2012,2016,,,16
153,2017-2021,2017,2021,,,16
153,2022-2026,2022,2026,,,16
155,1997-2001,1997,2001,,,16
155,2002-2006,2002,2006,,,16
155,2007-2011,2007,2011,,,16
155,2012-2016,2012,2016,,,15
155,2017-2021,2017,2021,-19383961.1733,-268435456.0,15
155,2022-2026,2022,2026,,,16
157,1997-2001,1997,2001,,,16
157,2002-2006,2002,2006,19211871.1467,-44739242.6667,15
157,2007-2011,2007,2011,,,16
157,2012-2016,2012,2016,,,16
157,2017-2021,2017,2021,,,16
157,2022-2026,2022,2026,,,16
159,1997-2001,1997,2001,,,16
159,2002-2006,2002,2006,,,16
159,2007-2011,2007,2011,,,16
159,2012-2016,2012,2016,42224964.2667,-16777216.0,15
159,2017-2021,2017,2021,,,16
159,2022-2026,2022,2026,,,16
161,1997-2001,1997,2001,,,16
161,2002-2006,2002,2006,,,16
161,2007-2011,2007,2011,13377070.5067,-16777216.0,15
161,2012-2016,2012,2016,32649150.4,-16777216.0,15
161,2017-2021,2017,2021,,,16
161,2022-2026,2022,2026,,,16
163,1997-2001,1997,2001,,,16
163,2002-2006,2002,2006,,,16
163,2007-2011,2007,2011,,,16
163,2012-2016,2012,2016,,,16
163,2017-2021,2017,2021,,,16
163,2022-2026,2022,2026,,,16
165,1997-2001,1997,2001,,,14
165,2002-2006,2002,2006,26814333.3333,0.0,15
165,2007-2011,2007,2011,18500343.7867,-25165824.0,15
165,2012-2016,2012,2016,-65765462.08,-67108864.0,15
165,2017-2021,2017,2021,-2428532.16,-134217728.0,15
165,2022-2026,2022,2026,35277907.3067,134217728.0,15
167,1997-2001,1997,2001,,,14
167,2002-2006,2002,2006,,,14
167,2007-2011,2007,2011,43732110.5905,-11184810.6667,14
167,2012-2016,2012,2016,89196928.5714,-0.0,14
167,2017-2021,2017,2021,51345528.4114,-33554432.0,14
167,2022-2026,2022,2026,,,14
169,1997-2001,1997,2001,13616764.2057,-67108864.0,14
169,2002-2006,2002,2006,13112154.0495,-89478485.3333,14
169,2007-2011,2007,2011,40779928.5714,0.0,14
169,2012-2016,2012,2016,46575070.5752,-11184810.6667,14
169,2017-2021,2017,2021,73376241.6,16777216.0,14
169,2022-2026,2022,2026,,,14
171,1997-2001,1997,2001,15525973.3257,-33554432.0,14
171,2002-2006,2002,2006,24590272.7273,-0.0,11
171,2007-2011,2007,2011,,,13
171,2012-2016,2012,2016,30859650.2203,-26843545.6,13
171,2017-2021,2017,2021,,,13
171,2022-2026,2022,2026,87150769.2308,-0.0,13
173,1997-2001,1997,2001,25548044.7543,67108864.0,14
173,2002-2006,2002,2006,,,13
173,2007-2011,2007,2011,666021.9657,-33554432.0,14
173,2012-2016,2012,2016,30610006.9029,-50331648.0,14
173,2017-2021,2017,2021,,,14
173,2022-2026,2022,2026,61208395.8857,38347922.2857,14
175,1997-2001,1997,2001,,,13
175,2002-2006,2002,2006,-9851166.8431,-33554432.0,13
175,2007-2011,2007,2011,21546202.7225,-10066329.6,13
175,2012-2016,2012,2016,-54726590.4492,-67108864.0,13
175,2017-2021,2017,2021,30127843.3477,-16777216.0,13
175,2022-2026,2022,2026,,,13
177,1997-2001,1997,2001,19226998.4267,268435456.0,12
177,2002-2006,2002,2006,-19973382.08,-134217728.0,12
177,2007-2011,2007,2011,45346545.4545,-0.0,11
177,2012-2016,2012,2016,,,10
177,2017-2021,2017,2021,62133363.6364,0.0,11
177,2022-2026,2022,2026,37208699.68,134217728.0,10
179,1997-2001,1997,2001,,,12
179,2002-2006,2002,2006,14050648.24,-8388608.0,12
179,2007-2011,2007,2011,,,12
179,2012-2016,2012,2016,70174333.3333,-0.0,12
179,2017-2021,2017,2021,44992957.4497,89478485.3333,11
179,2022-2026,2022,2026,71695264.64,33554432.0,12
